batch,heads,n,d,causal,implementation,median_us,min_us,max_us,useful_tflops,max_abs,rmse
1,1,64,64,False,cute_s2,3.1539198756217957,3.1334400177001953,3.2051199674606323,0.3324675455787453,0.0003066062927246094,5.179278741707094e-05
1,1,64,64,False,cute_s3,3.1632000207901,3.1436800956726074,3.3670398592948914,0.33149215765940976,0.0003066062927246094,5.179278741707094e-05
1,1,64,64,False,official_fa2,8.509439826011658,8.488960266113281,8.601599931716919,0.12322503260375761,0.0003066062927246094,5.181430606171489e-05
1,1,64,64,True,cute_s2,2.6316800713539124,2.590720057487488,2.887679934501648,0.20233462486420573,0.0009429454803466797,7.987529534148052e-05
1,1,64,64,True,cute_s3,2.6316800713539124,2.590720057487488,2.836480140686035,0.20233462486420573,0.0009429454803466797,7.987529534148052e-05
1,1,64,64,True,official_fa2,6.717439889907837,6.686720252037048,41.78944110870361,0.07926829398205536,0.0009429454803466797,7.982746319612488e-05
1,1,128,64,False,cute_s2,3.652159869670868,3.604480028152466,3.9628800749778748,1.1484447969628422,0.0001894235610961914,3.636307883425616e-05
1,1,128,64,False,cute_s3,3.7887999415397644,3.758080005645752,4.3007999658584595,1.1070270441081773,0.0001894235610961914,3.636307883425616e-05
1,1,128,64,False,official_fa2,6.318079829216003,6.265280246734619,10.926079750061035,0.6638573923369471,0.0001894235610961914,3.6991496017435566e-05
1,1,128,64,True,cute_s2,3.7990400195121765,3.768320083618164,8.762239813804626,0.5563342289485523,0.0006561279296875,6.382175342878327e-05
1,1,128,64,True,cute_s3,3.9609599113464355,3.911679983139038,4.147199988365173,0.5335918684623983,0.0006561279296875,6.382175342878327e-05
1,1,128,64,True,official_fa2,6.379520297050476,6.34880006313324,7.175999879837036,0.33130014508726896,0.0006561279296875,6.383877189364284e-05
1,1,192,64,False,cute_s2,4.761599898338318,4.7411200404167175,39.93599891662598,1.9819355261859248,0.00015312433242797852,3.097650915151462e-05
1,1,192,64,False,cute_s3,4.904960095882416,4.89439994096756,5.232639908790588,1.9240083131200734,0.00015312433242797852,3.097650915151462e-05
1,1,192,64,False,official_fa2,11.028480529785156,10.994559526443481,11.089919805526733,0.8557102653001505,0.00015312433242797852,3.151635974063538e-05
1,1,192,64,True,cute_s2,4.976640045642853,4.94592010974884,5.0278401374816895,0.9530864110119311,0.0007236003875732422,5.7093424402410164e-05
